Name	smiles
CHEMBL100	CC1(C)Oc2ccc(C#N)cc2[C@@H]([N@@H+]2CCCC2=O)[C@@H]1O
CHEMBL100014	CCCC(=O)OCOC(=O)C(C)(C)C
CHEMBL100116	CC(C)=CC[N@H+]1CC[C@@]2(C)c3cc([O-])ccc3C[C@@H]1[C@@H]2C
CHEMBL1002	CC(C)(C)[NH2+]C[C@H](O)c1ccc([O-])c(CO)c1
CHEMBL100259	O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[n-]1
CHEMBL1003	O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)[N@@H+]21
CHEMBL1004	C[NH+](C)CCO[C@](C)(c1ccccc1)c1ccccn1
CHEMBL100424	C[NH2+]C(=S)[C@@]1(c2ccccn2)CCCS1
CHEMBL1005	CCC(=O)N(c1ccccc1)[C@]1(C(=O)OC)CC[N@H+](CCC(=O)OC)CC1
CHEMBL1006	[NH3+]CCC[NH2+]CCSP(=O)(O)O
CHEMBL100622	C[N+](C)(C)CCCCCC[N+](C)(C)C
CHEMBL1008	CC(C)COC[C@H](CN(Cc1ccccc1)c1ccccc1)[NH+]1CCCC1
CHEMBL1009	[NH3+][C@@H](Cc1ccc([O-])c([O-])c1)C(=O)[O-]
CHEMBL101	CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
CHEMBL1010	CO/N=C(\C(=O)N[C@@H]1C(=O)[N@@H+]2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1
CHEMBL101253	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
CHEMBL1013	[NH3+][C@@H](C(=O)N[C@@H]1C(=O)[N@@H+]2C(C(=O)[O-])=C(Cl)CC[C@H]12)c1ccccc1
CHEMBL1016	CCOc1nc2cccc(C(=O)[O-])c2n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1
CHEMBL1018	C/C=C(C(=C/C)/c1ccc([O-])cc1)\c1ccc([O-])cc1
CHEMBL10188	CC[C@H](NC(=O)c1c([O-])c(-c2ccccc2)nc2ccccc12)c1ccccc1
CHEMBL1021	NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N
CHEMBL102358	O=C(/C=C/c1ccccc1)NCCO
CHEMBL1024	O=[P@@]1([NH2+]CCCl)OCCC[N@@H+]1CCCl
CHEMBL1025	CC(C)OP(=O)(F)OC(C)C
CHEMBL1026	[O-]c1ccc([C@@H]2C[NH2+]CCc3c2cc([O-])c([O-])c3Cl)cc1
CHEMBL1027	Cc1ccsc1C(=CCC[N@H+]1CCC[C@@H](C(=O)[O-])C1)c1sccc1C
CHEMBL1029	CCCC[N@H+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
CHEMBL102970	Cc1ncc(CO)c(C=O)c1[O-]
CHEMBL103	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL10316	c1ccc2c(c1)OC[C@H](C1=[NH+]CCN1)O2
CHEMBL103667	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCC[NH+]3CCOCC3)c3ccccc23)cc1
CHEMBL1037	NC(=[NH2+])NC[C@@H]1COC2(CCCCC2)O1
CHEMBL10372	O=C([O-])Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2ccccc12
CHEMBL103735	CCCC1(CCC)CCC2(CC[N@H+](CCC[NH+](CC)CC)C2)CC1
CHEMBL104	Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
CHEMBL10413	O=C([O-])Cn1c(=O)n(Cc2ccc(Br)cc2F)c(=O)c2ccc(Cl)cc21
CHEMBL1043	Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
